,CodeName,Name,Description
0,REPEL,Repel,An item that prevents weak wild Pokémon from appearing for 100 steps after its use.
1,SUPERREPEL,Super Repel,An item that prevents weak wild Pokémon from appearing for 200 steps after its use.
2,MAXREPEL,Max Repel,An item that prevents weak wild Pokémon from appearing for 250 steps after its use.
3,BLACKFLUTE,Black Flute,A black flute made from blown glass. Its melody makes wild Pokémon less likely to appear.
4,WHITEFLUTE,White Flute,A white flute made from blown glass. Its melody makes wild Pokémon more likely to appear.
5,HONEY,Honey,"A sweet honey with an aroma that attracts wild Pokémon when used in grass, caves or on special trees."
6,ESCAPEROPE,Escape Rope,"A long, durable rope. Use it to escape instantly from a cave or a dungeon."
7,REDSHARD,Red Shard,A small red shard. It appears to be from some sort of implement made long ago.
8,YELLOWSHARD,Yellow Shard,A small yellow shard. It appears to be from some sort of implement made long ago.
9,BLUESHARD,Blue Shard,A small blue shard. It appears to be from some sort of implement made long ago.
10,GREENSHARD,Green Shard,A small green shard. It appears to be from some sort of implement made long ago.
11,FIRESTONE,Fire Stone,A peculiar stone that makes certain species of Pokémon evolve. It is colored orange.
12,THUNDERSTONE,Thunderstone,A peculiar stone that makes certain species of Pokémon evolve. It has a thunderbolt pattern.
13,WATERSTONE,Water Stone,"A peculiar stone that makes certain species of Pokémon evolve. It is a clear, light blue."
14,LEAFSTONE,Leaf Stone,A peculiar stone that makes certain species of Pokémon evolve. It has a leaf pattern.
15,MOONSTONE,Moon Stone,A peculiar stone that makes certain species of Pokémon evolve. It is as black as the night sky.
16,SUNSTONE,Sun Stone,A peculiar stone that makes certain species of Pokémon evolve. It is as red as the sun.
17,DUSKSTONE,Dusk Stone,A peculiar stone that makes certain species of Pokémon evolve. It is as dark as dark can be.
18,DAWNSTONE,Dawn Stone,A peculiar stone that makes certain species of Pokémon evolve. It sparkles like eyes.
19,SHINYSTONE,Shiny Stone,A peculiar stone that makes certain species of Pokémon evolve. It shines with a dazzling light.
20,HELIXFOSSIL,Helix Fossil,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a seashell.
21,DOMEFOSSIL,Dome Fossil,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a shell.
22,OLDAMBER,Old Amber,A piece of amber that contains the genetic material of an ancient Pokémon. It is clear with a reddish tint.
23,ROOTFOSSIL,Root Fossil,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a plant root.
24,CLAWFOSSIL,Claw Fossil,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw.
25,SKULLFOSSIL,Skull Fossil,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a head.
26,ARMORFOSSIL,Armor Fossil,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.
27,COVERFOSSIL,Cover Fossil,A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its back.
28,PLUMEFOSSIL,Plume Fossil,A fossil of an ancient Pokémon that flew in the sky in ancient times. It appears to be part of its wing.
29,PRETTYWING,Pretty Wing,"Though this feather is beautiful, it's just a regular feather and has no effect on Pokémon."
30,TINYMUSHROOM,TinyMushroom,A small and rare mushroom. It is sought after by collectors.
31,BIGMUSHROOM,Big Mushroom,A large and rare mushroom. It is sought after by collectors.
32,BALMMUSHROOM,BalmMushroom,A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.
33,PEARL,Pearl,A somewhat-small pearl that sparkles in a pretty silver color. It can be sold cheaply to shops.
34,BIGPEARL,Big Pearl,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.
35,PEARLSTRING,Pearl String,Very large pearls that sparkle in a pretty silver color. A maniac will buy them for a high price.
36,STARDUST,Stardust,"Lovely, red-colored sand with a loose, silky feel. It can be sold at a high price to shops."
37,STARPIECE,Star Piece,A shard of a pretty gem that sparkles in a red color. It can be sold at a high price to shops.
38,COMETSHARD,Comet Shard,A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.
39,NUGGET,Nugget,A nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.
40,BIGNUGGET,Big Nugget,A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.
41,HEARTSCALE,Heart Scale,"A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow."
42,RAREBONE,Rare Bone,A bone that is extremely valuable for Pokémon archaeology. It can be sold for a high price to shops.
43,RELICCOPPER,Relic Copper,"A copper coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price."
44,RELICSILVER,Relic Silver,"A silver coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price."
45,RELICGOLD,Relic Gold,"A gold coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price."
46,RELICVASE,Relic Vase,"A vase made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
47,RELICBAND,Relic Band,"A bracelet made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
48,RELICSTATUE,Relic Statue,"A stone figure made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
49,RELICCROWN,Relic Crown,"A crown made in a civilization about 3,000 years ago. A maniac will buy it for a high price."
50,GROWTHMULCH,Growth Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
51,DAMPMULCH,Damp Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
52,STABLEMULCH,Stable Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
53,GOOEYMULCH,Gooey Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
54,SHOALSALT,Shoal Salt,Pure salt that can be discovered deep inside the Shoal Cave. A maniac will buy it for a high price.
55,SHOALSHELL,Shoal Shell,A pretty seashell that can be found deep inside the Shoal Cave. A maniac will buy it for a high price.
56,ODDKEYSTONE,Odd Keystone,A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally.
57,AIRBALLOON,Air Balloon,"When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst."
58,BRIGHTPOWDER,BrightPowder,An item to be held by a Pokémon. It casts a tricky glare that lowers the opponent's accuracy.
59,EVIOLITE,Eviolite,"A mysterious evolutionary lump. When held, it raises the Defense and Sp. Def of a Pokémon that can still evolve."
60,FLOATSTONE,Float Stone,A very light stone. It reduces the weight of a Pokémon when held.
61,DESTINYKNOT,Destiny Knot,"A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too."
62,ROCKYHELMET,Rocky Helmet,"If the holder of this item takes damage, the attacker will also be damaged upon contact."
63,EJECTBUTTON,Eject Button,"If the holder is hit by an attack, it will switch with another Pokémon in your party."
64,REDCARD,Red Card,"A card with a mysterious power. When the holder is struck by a foe, the attacker is removed from battle."
65,SHEDSHELL,Shed Shell,"A tough, discarded carapace to be held by a Pokémon. It enables the holder to switch with a waiting Pokémon in battle."
66,SMOKEBALL,Smoke Ball,An item to be held by a Pokémon. It enables the holder to flee from any wild Pokémon without fail.
67,LUCKYEGG,Lucky Egg,An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle.
68,EXPSHARE,Exp. Share,An item to be held by a Pokémon. The holder gets a share of a battle's Exp. Points without battling.
69,AMULETCOIN,Amulet Coin,An item to be held by a Pokémon. It doubles a battle's prize money if the holding Pokémon joins in.
70,SOOTHEBELL,Soothe Bell,An item to be held by a Pokémon. It is a bell with a comforting chime that calms the holder and makes it friendly.
71,CLEANSETAG,Cleanse Tag,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.
72,CHOICEBAND,Choice Band,"An item to be held by a Pokémon. This headband ups Attack, but allows the use of only one of its moves."
73,CHOICESPECS,Choice Specs,"An item to be held by a Pokémon. These distinctive glasses boost Sp. Atk, but allow the use of only one of its moves."
74,CHOICESCARF,Choice Scarf,"An item to be held by a Pokémon. This scarf boosts Speed, but allows the use of only one of its moves."
75,HEATROCK,Heat Rock,A Pokémon held item that extends the duration of the move Sunny Day used by the holder.
76,DAMPROCK,Damp Rock,A Pokémon held item that extends the duration of the move Rain Dance used by the holder.
77,SMOOTHROCK,Smooth Rock,A Pokémon held item that extends the duration of the move Sandstorm used by the holder.
78,ICYROCK,Icy Rock,A Pokémon held item that extends the duration of the move Hail used by the holder.
79,LIGHTCLAY,Light Clay,A Pokémon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.
80,GRIPCLAW,Grip Claw,A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.
81,BINDINGBAND,Binding Band,A band that increases the power of binding moves when held.
82,BIGROOT,Big Root,A Pokémon held item that boosts the power of HP-stealing moves to let the holder recover more HP.
83,BLACKSLUDGE,Black Sludge,A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.
84,LEFTOVERS,Leftovers,An item to be held by a Pokémon. The holder's HP is gradually restored during battle.
85,SHELLBELL,Shell Bell,An item to be held by a Pokémon. The holder's HP is restored a little every time it inflicts damage.
86,MENTALHERB,Mental Herb,An item to be held by a Pokémon. It snaps the holder out of infatuation. It can be used only once.
87,WHITEHERB,White Herb,An item to be held by a Pokémon. It restores any lowered stat in battle. It can be used only once.
88,POWERHERB,Power Herb,A single-use item to be held by a Pokémon. It allows the immediate use of a move that charges on the first turn.
89,ABSORBBULB,Absorb Bulb,"A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise."
90,CELLBATTERY,Cell Battery,"A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise."
91,LIFEORB,Life Orb,"An item to be held by a Pokémon. It boosts the power of moves, but at the cost of some HP on each hit."
92,EXPERTBELT,Expert Belt,An item to be held by a Pokémon. It is a well-worn belt that slightly boosts the power of supereffective moves.
93,METRONOME,Metronome,A Pokémon held item that boosts a move used consecutively. Its effect is reset if another move is used.
94,MUSCLEBAND,Muscle Band,An item to be held by a Pokémon. It is a headband that slightly boosts the power of physical moves.
95,WISEGLASSES,Wise Glasses,An item to be held by a Pokémon. It is a thick pair of glasses that slightly boosts the power of special moves.
96,RAZORCLAW,Razor Claw,An item to be held by a Pokémon. It is a sharply hooked claw that ups the holder's critical-hit ratio.
97,SCOPELENS,Scope Lens,An item to be held by a Pokémon. It is a lens that boosts the holder's critical-hit ratio.
98,WIDELENS,Wide Lens,An item to be held by a Pokémon. It is a magnifying lens that slightly boosts the accuracy of moves.
99,ZOOMLENS,Zoom Lens,"An item to be held by a Pokémon. If the holder moves after its target, its accuracy will be boosted."
100,KINGSROCK,King's Rock,"An item to be held by a Pokémon. When the holder inflicts damage, the target may flinch."
101,RAZORFANG,Razor Fang,An item to be held by a Pokémon. It may make foes and allies flinch when the holder inflicts damage.
102,LAGGINGTAIL,Lagging Tail,An item to be held by a Pokémon. It is tremendously heavy and makes the holder move slower than usual.
103,QUICKCLAW,Quick Claw,"An item to be held by a Pokémon. A light, sharp claw that lets the bearer move first occasionally."
104,FOCUSBAND,Focus Band,"An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP."
105,FOCUSSASH,Focus Sash,"An item to be held by a Pokémon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP."
106,FLAMEORB,Flame Orb,An item to be held by a Pokémon. It is a bizarre orb that inflicts a burn on the holder in battle.
107,TOXICORB,Toxic Orb,An item to be held by a Pokémon. It is a bizarre orb that badly poisons the holder in battle.
108,STICKYBARB,Sticky Barb,A held item that damages the holder on every turn. It may latch on to foes and allies that touch the holder.
109,IRONBALL,Iron Ball,A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.
110,RINGTARGET,Ring Target,Moves that would otherwise have no effect will land on the Pokémon that holds it.
111,MACHOBRACE,Macho Brace,An item to be held by a Pokémon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.
112,POWERWEIGHT,Power Weight,"A Pokémon held item that promotes HP gain on leveling, but reduces the Speed stat."
113,POWERBRACER,Power Bracer,"A Pokémon held item that promotes Attack gain on leveling, but reduces the Speed stat."
114,POWERBELT,Power Belt,"A Pokémon held item that promotes Defense gain on leveling, but reduces the Speed stat."
115,POWERLENS,Power Lens,"A Pokémon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat."
116,POWERBAND,Power Band,"A Pokémon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat."
117,POWERANKLET,Power Anklet,"A Pokémon held item that promotes Speed gain on leveling, but reduces the Speed stat."
118,LAXINCENSE,Lax Incense,An item to be held by a Pokémon. The tricky aroma of this incense may make attacks miss the holder.
119,FULLINCENSE,Full Incense,An item to be held by a Pokémon. It is an exotic-smelling incense that makes the holder bloated and slow moving.
120,LUCKINCENSE,Luck Incense,An item to be held by a Pokémon. It doubles a battle's prize money if the holding Pokémon joins in.
121,PUREINCENSE,Pure Incense,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.
122,SEAINCENSE,Sea Incense,An item to be held by a Pokémon. It is incense with a curious aroma that boosts the power of Water-type moves.
123,WAVEINCENSE,Wave Incense,An item to be held by a Pokémon. It is incense with a curious aroma that boosts the power of Water-type moves.
124,ROSEINCENSE,Rose Incense,An item to be held by a Pokémon. It is an exotic-smelling incense that boosts the power of Grass-type moves.
125,ODDINCENSE,Odd Incense,An item to be held by a Pokémon. It is an exotic-smelling incense that boosts the power of Psychic-type moves.
126,ROCKINCENSE,Rock Incense,An item to be held by a Pokémon. It is an exotic-smelling incense that boosts the power of Rock-type moves.
127,CHARCOAL,Charcoal,An item to be held by a Pokémon. It is a combustible fuel that boosts the power of Fire-type moves.
128,MYSTICWATER,Mystic Water,An item to be held by a Pokémon. It is a teardrop-shaped gem that ups the power of Water-type moves.
129,MAGNET,Magnet,An item to be held by a Pokémon. It is a powerful magnet that boosts the power of Electric-type moves.
130,MIRACLESEED,Miracle Seed,An item to be held by a Pokémon. It is a seed imbued with life that ups the power of Grass-type moves.
131,NEVERMELTICE,NeverMeltIce,An item to be held by a Pokémon. It is a piece of ice that repels heat and boosts Ice-type moves.
132,BLACKBELT,Black Belt,An item to be held by a Pokémon. It is a belt that boosts determination and Fighting-type moves.
133,POISONBARB,Poison Barb,"An item to be held by a Pokémon. It is a small, poisonous barb that ups the power of Poison-type moves."
134,SOFTSAND,Soft Sand,"An item to be held by a Pokémon. It is a loose, silky sand that boosts the power of Ground-type moves."
135,SHARPBEAK,Sharp Beak,"An item to be held by a Pokémon. It is a long, sharp beak that boosts the power of Flying-type moves."
136,TWISTEDSPOON,TwistedSpoon,An item to be held by a Pokémon. It is a spoon imbued with telekinetic power that boosts Psychic-type moves.
137,SILVERPOWDER,SilverPowder,"An item to be held by a Pokémon. It is a shiny, silver powder that ups the power of Bug-type moves."
138,HARDSTONE,Hard Stone,An item to be held by a Pokémon. It is an unbreakable stone that ups the power of Rock-type moves.
139,SPELLTAG,Spell Tag,"An item to be held by a Pokémon. It is a sinister, eerie tag that boosts the power of Ghost-type moves."
140,DRAGONFANG,Dragon Fang,An item to be held by a Pokémon. It is a hard and sharp fang that ups the power of Dragon-type moves.
141,BLACKGLASSES,BlackGlasses,An item to be held by a Pokémon. It is a shady-looking pair of glasses that boosts Dark-type moves.
142,METALCOAT,Metal Coat,An item to be held by a Pokémon. It is a special metallic film that ups the power of Steel-type moves.
143,SILKSCARF,Silk Scarf,An item to be held by a Pokémon. It is a sumptuous scarf that boosts the power of Normal-type moves.
144,FLAMEPLATE,Flame Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Fire-type moves.
145,SPLASHPLATE,Splash Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Water-type moves.
146,ZAPPLATE,Zap Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Electric-type moves.
147,MEADOWPLATE,Meadow Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Grass-type moves.
148,ICICLEPLATE,Icicle Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Ice-type moves.
149,FISTPLATE,Fist Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Fighting-type moves.
150,TOXICPLATE,Toxic Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Poison-type moves.
151,EARTHPLATE,Earth Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Ground-type moves.
152,SKYPLATE,Sky Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Flying-type moves.
153,MINDPLATE,Mind Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Psychic-type moves.
154,INSECTPLATE,Insect Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Bug-type moves.
155,STONEPLATE,Stone Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Rock-type moves.
156,SPOOKYPLATE,Spooky Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Ghost-type moves.
157,DRACOPLATE,Draco Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Dragon-type moves.
158,DREADPLATE,Dread Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Dark-type moves.
159,IRONPLATE,Iron Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Steel-type moves.
160,FIREGEM,Fire Gem,"A gem with an essence of fire. When held, it strengthens the power of a Fire-type move only once."
161,WATERGEM,Water Gem,"A gem with an essence of water. When held, it strengthens the power of a Water-type move only once."
162,ELECTRICGEM,Electric Gem,"A gem with an essence of electricity. When held, it strengthens the power of an Electric-type move only once."
163,GRASSGEM,Grass Gem,"A gem with an essence of nature. When held, it strengthens the power of a Grass-type move only once."
164,ICEGEM,Ice Gem,"A gem with an essence of ice. When held, it strengthens the power of an Ice-type move only once."
165,FIGHTINGGEM,Fighting Gem,"A gem with an essence of combat. When held, it strengthens the power of a Fighting-type move only once."
166,POISONGEM,Poison Gem,"A gem with an essence of poison. When held, it strengthens the power of a Poison-type move only once."
167,GROUNDGEM,Ground Gem,"A gem with an essence of land. When held, it strengthens the power of a Ground-type move only once."
168,FLYINGGEM,Flying Gem,"A gem with an essence of air. When held, it strengthens the power of a Flying-type move only once."
169,PSYCHICGEM,Psychic Gem,"A gem with an essence of the mind. When held, it strengthens the power of a Psychic-type move only once."
170,BUGGEM,Bug Gem,"A gem with an insect-like essence. When held, it strengthens the power of a Bug-type move only once."
171,ROCKGEM,Rock Gem,"A gem with an essence of rock. When held, it strengthens the power of a Rock-type move only once."
172,GHOSTGEM,Ghost Gem,"A gem with a spectral essence. When held, it strengthens the power of a Ghost-type move only once."
173,DRAGONGEM,Dragon Gem,"A gem with a draconic essence. When held, it strengthens the power of a Dragon-type move only once."
174,DARKGEM,Dark Gem,"A gem with an essence of darkness. When held, it strengthens the power of a Dark-type move only once."
175,STEELGEM,Steel Gem,"A gem with an essence of steel. When held, it strengthens the power of a Steel-type move only once."
176,NORMALGEM,Normal Gem,"A gem with an ordinary essence. When held, it strengthens the power of a Normal-type move only once."
177,LIGHTBALL,Light Ball,An item to be held by Pikachu. It is a puzzling orb that raises the Attack and Sp. Atk stat.
178,LUCKYPUNCH,Lucky Punch,An item to be held by Chansey. It is a pair of gloves that boosts Chansey's critical-hit ratio.
179,METALPOWDER,Metal Powder,"An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Defense stat."
180,QUICKPOWDER,Quick Powder,"An item to be held by Ditto. Extremely fine yet hard, this odd powder boosts the Speed stat."
181,THICKCLUB,Thick Club,An item to be held by Cubone or Marowak. It is a hard bone of some sort that boosts the Attack stat.
182,STICK,Stick,An item to be held by Farfetch'd. It is a very long and stiff stalk of leek that boosts the critical-hit ratio.
183,SOULDEW,Soul Dew,A wondrous orb to be held by Latios or Latias. It raises both the Sp. Atk and Sp. Def stats.
184,DEEPSEATOOTH,DeepSeaTooth,"An item to be held by Clamperl. A fang that gleams a sharp silver, it raises the Sp. Atk stat."
185,DEEPSEASCALE,DeepSeaScale,"An item to be held by Clamperl. A scale that shines a faint pink, it raises the Sp. Def stat."
186,ADAMANTORB,Adamant Orb,A brightly gleaming orb to be held by Dialga. It boosts the power of Dragon- and Steel-type moves.
187,LUSTROUSORB,Lustrous Orb,A beautifully glowing orb to be held by Palkia. It boosts the power of Dragon- and Water-type moves.
188,GRISEOUSORB,Griseous Orb,A glowing orb to be held by Giratina. It boosts the power of Dragon- and Ghost-type moves.
189,DOUSEDRIVE,Douse Drive,A cassette to be held by Genesect. It changes Techno Blast to a Water-type move.
190,SHOCKDRIVE,Shock Drive,A cassette to be held by Genesect. It changes Techno Blast to an Electric-type move.
191,BURNDRIVE,Burn Drive,A cassette to be held by Genesect. It changes Techno Blast to a Fire-type move.
192,CHILLDRIVE,Chill Drive,A cassette to be held by Genesect. It changes Techno Blast to an Ice-type move.
